label	kind	started_at	ended_at	exit_code	log_sha256
warmup_flash	excluded_warmup	2026-07-16T03:49:51-07:00	2026-07-16T03:50:50-07:00	0	b770b8da47a8e67411af840872cb469fb2405b4355c46283ddd70353e8ce582b
warmup_pro	excluded_warmup	2026-07-16T03:50:55-07:00	2026-07-16T03:51:53-07:00	0	43e60efe6420fdfcdb76c928187450aa5497f46c30168c1385c1cd32be08b8f8
warmup_mimo	excluded_warmup	2026-07-16T03:51:57-07:00	2026-07-16T03:52:57-07:00	0	f6cfd9843b5729c18026f74fa6f95bcf9c8d75b0347a708e594046d42443903b
round_01_flash	measured	2026-07-16T03:53:02-07:00	2026-07-16T03:53:31-07:00	0	c749fa2738aeb98216e335fc6bfea681eb85e9d139c610083eabafa5bb678fa7
round_01_pro	measured	2026-07-16T03:53:35-07:00	2026-07-16T03:54:06-07:00	0	b9042d43cebc0aa4f2d7c1c21ac4ea6322b2c659f223f2377dc622ea2e07f021
round_01_mimo	measured	2026-07-16T03:54:11-07:00	2026-07-16T03:54:41-07:00	0	bf67fbb669cb8e0cf95a36d1cf8cc274f841e89617a30372ef9dcb3857178778
round_02_pro	measured	2026-07-16T03:54:45-07:00	2026-07-16T03:55:17-07:00	0	bbe1adcb34b8957fc0ba3a9a0d3d4df8c6cc68c7239725efa5effba4acd5894b
round_02_mimo	measured	2026-07-16T03:55:22-07:00	2026-07-16T03:55:53-07:00	0	8677284a1087c397ad917c49a79597c22c7d5b5c052f723b1a5aad18c31e704e
round_02_flash	measured	2026-07-16T03:55:57-07:00	2026-07-16T03:56:26-07:00	0	4abdc185f5168b06a300812503422929c47f547693cbd3d80d066fddc216fcb0
round_03_mimo	measured	2026-07-16T03:56:30-07:00	2026-07-16T03:57:00-07:00	0	e668b4c02b5af7a4f3661b2789594e0b4abf43d946dafa8bf7bc439007984904
