model,display_name,m,recv,touched_experts,baseline_layout,final_layout,imageperf_rank0_us,baseline_vs_imageperf_rank0_median_delta_pct,final_vs_imageperf_rank0_median_delta_pct,baseline_rank0_median_us,baseline_rank0_p10_us,baseline_rank0_p90_us,baseline_rank0_min_us,baseline_rank0_max_us,baseline_rank0_median_ci_x10_low_us,baseline_rank0_median_ci_x21_high_us,baseline_mean_rank_median_us,baseline_mean_rank_p10_us,baseline_mean_rank_p90_us,baseline_mean_rank_min_us,baseline_mean_rank_max_us,baseline_mean_rank_median_ci_x10_low_us,baseline_mean_rank_median_ci_x21_high_us,baseline_max_rank_median_us,baseline_max_rank_p10_us,baseline_max_rank_p90_us,baseline_max_rank_min_us,baseline_max_rank_max_us,baseline_max_rank_median_ci_x10_low_us,baseline_max_rank_median_ci_x21_high_us,final_rank0_median_us,final_rank0_p10_us,final_rank0_p90_us,final_rank0_min_us,final_rank0_max_us,final_rank0_median_ci_x10_low_us,final_rank0_median_ci_x21_high_us,final_mean_rank_median_us,final_mean_rank_p10_us,final_mean_rank_p90_us,final_mean_rank_min_us,final_mean_rank_max_us,final_mean_rank_median_ci_x10_low_us,final_mean_rank_median_ci_x21_high_us,final_max_rank_median_us,final_max_rank_p10_us,final_max_rank_p90_us,final_max_rank_min_us,final_max_rank_max_us,final_max_rank_median_ci_x10_low_us,final_max_rank_median_ci_x21_high_us,final_vs_baseline_rank0_median_delta_pct,baseline_over_final_rank0_speedup,final_vs_baseline_mean_rank_median_delta_pct,baseline_over_final_mean_rank_speedup,final_vs_baseline_max_rank_median_delta_pct,baseline_over_final_max_rank_speedup
flash,Flash,8,46,24,BN256-standard,BN256-grouped,226.6,4.854368932038833,1.9858781994704255,237.6,227.67,271.44,220.4,336.3,232.1,251.0,241.6,230.99,264.38,229.5,319.4,235.4,251.2,246.89999999999998,235.31,276.14,233.4,341.2,238.7,260.4,231.1,226.24,258.89,222.5,273.8,228.3,234.6,233.55,227.39,251.99,226.2,269.5,230.9,237.1,239.35,232.78000000000003,262.28,229.9,283.3,236.6,244.2,-2.7356902356902357,1.0281263522284725,-3.3319536423841,1.034467994005566,-3.057918185500197,1.0315437643618133
flash,Flash,16,92,30,BN256-standard,BN256-grouped,237.6,15.193602693602726,8.880471380471388,273.70000000000005,249.54,350.39,242.6,403.3,256.0,288.2,270.55,252.57999999999998,335.75,245.6,410.2,261.5,290.9,279.05,255.57,351.27000000000004,251.0,440.3,270.6,300.0,258.7,246.32000000000002,337.1500000000001,236.8,498.7,252.5,267.4,276.0,247.27,376.01000000000005,245.6,481.7,261.5,305.1,286.7,252.67000000000002,400.68,249.1,523.6,266.7,318.8,-5.48045305078555,1.057982218786239,2.014415080391796,0.9802536231884058,2.7414441856298044,0.973317056156261
flash,Flash,32,170,32,BN256-standard,BN256-grouped,249.6,5.649038461538458,8.193108974358964,263.7,250.56,289.0100000000001,248.8,387.7,259.8,272.7,265.95000000000005,256.43,287.0400000000001,251.3,373.2,259.9,273.7,274.5,260.44,298.28000000000003,254.7,396.0,265.9,282.3,270.04999999999995,254.24,405.88000000000005,245.2,483.5,262.5,329.2,279.15,258.64,384.31,255.9,464.2,263.1,331.0,288.1,263.5,407.58000000000004,258.6,499.6,271.5,345.8,2.40803943875616,0.9764858359563046,4.963338973491238,0.9527135948414833,4.9544626593807095,0.9527941686914265
flash,Flash,64,378,32,BN256-standard,BN256-grouped,263.5,5.4269449715369955,6.6034155597722854,277.8,263.61,298.63,253.7,355.1,271.8,284.7,279.45000000000005,268.44,312.96000000000004,262.7,342.1,273.9,284.9,285.75,272.77,322.44,266.6,357.7,279.1,292.9,280.9,256.14,335.51,251.3,409.8,273.3,292.8,286.75,268.46999999999997,342.14,261.5,389.2,278.7,297.7,295.15,273.74,356.92999999999995,266.4,411.4,287.0,309.0,1.1159107271418112,0.9889640441438236,2.6122741098586255,0.9745422842197037,3.289588801399823,0.9681517872268339
flash,Flash,128,784,32,BN256-standard,BN256-grouped,260.4,8.486943164362536,6.931643625192008,282.5,264.3,309.26000000000005,257.4,335.1,276.6,288.4,285.35,272.62,310.73,266.5,319.6,278.3,290.3,291.2,277.84999999999997,321.1,270.4,335.1,287.2,299.3,278.45,263.2,300.78000000000003,259.0,376.5,268.2,284.9,281.4,265.41,311.72,263.0,402.9,275.2,285.5,288.70000000000005,269.98,322.06,267.6,426.4,282.4,293.9,-1.4336283185840792,1.0145448015801761,-1.3842649377957095,1.014036958066809,-0.8585164835164694,1.0086595081399374
flash,Flash,256,1568,32,BN256-standard,BN256-grouped,292.0,1.2328767123287676,3.287671232876721,295.6,278.95,308.49,273.1,349.9,286.4,299.6,296.65,285.68,309.41,282.6,339.0,292.9,301.4,303.0,291.58000000000004,319.57000000000005,286.2,350.9,299.3,308.2,301.6,280.15000000000003,349.88,275.9,451.8,290.4,313.4,301.35,283.43,343.95,281.3,431.9,292.9,312.4,310.20000000000005,287.03,359.40999999999997,283.8,457.2,298.5,323.2,2.0297699594046037,0.980106100795756,1.5843586718355063,0.9844035175045627,2.3762376237624006,0.9767891682785298
flash,Flash,512,3147,32,BN256-standard,BN256-grouped,481.2,5.351205320033259,5.579800498753129,506.95,491.79,520.87,485.1,600.8,501.3,514.3,510.0,495.15999999999997,528.64,492.7,586.0,503.8,518.8,516.8499999999999,499.28999999999996,538.46,497.7,602.1,509.9,528.3,508.05,485.8,591.34,477.9,653.5,497.6,520.1,508.5,489.39,572.71,485.4,629.7,502.3,518.7,516.9,494.39000000000004,591.45,489.3,654.5,510.6,529.2,0.21698392346385376,0.9978348587737427,-0.2941176470588225,1.0029498525073746,0.009673986649905153,0.9999032694911973
flash,Flash,1024,6221,32,BN256-standard,BN256-grouped,813.6,2.8207964601769886,1.7760570304818035,836.55,825.5899999999999,868.9000000000001,818.9,905.1,827.9,840.9,837.85,827.99,865.71,824.9,890.1,833.3,849.2,844.05,832.23,876.89,829.0,905.4,839.0,857.6,828.05,816.0800000000002,848.72,811.6,890.5,823.1,839.3,832.75,819.4200000000001,843.98,817.9,880.6,826.3,840.3,839.8499999999999,824.02,852.21,822.4,894.0,830.4,847.9,-1.016077939154858,1.0102650806110742,-0.6087008414394024,1.0061242870009006,-0.49760085303004464,1.00500089301661
flash,Flash,2048,12365,32,BN128-split,BN128-split,1440.5,9.947934744880271,13.984727525164864,1583.8000000000002,1571.3400000000001,1602.55,1568.9,1659.5,1576.9,1592.0,1585.25,1577.9499999999998,1598.5500000000002,1571.4,1710.9,1581.7,1590.5,1592.5,1582.0600000000002,1608.2900000000002,1576.3,1734.0,1586.4,1599.2,1641.9499999999998,1630.31,1656.0700000000002,1623.0,1730.6,1634.5,1647.0,1642.1999999999998,1627.8899999999999,1660.81,1621.9,1710.9,1637.6,1651.6,1650.0,1632.21,1672.5000000000002,1626.9,1730.6,1646.0,1661.7,3.6715494380603397,0.9645847924723654,3.5924932975871293,0.965320910973085,3.610675039246458,0.9651515151515152
flash,Flash,4096,24547,32,BN128-split,BN128-split,2684.3,1.5348507990910143,4.980814365011366,2725.5,2710.0,2737.0,2704.0,2752.0,2718.0,2730.0,2724.7,2713.37,2734.77,2709.5,2745.3,2719.6,2728.1,2731.0,2717.9,2743.0,2713.0,2756.0,2726.0,2734.0,2818.0,2810.9,2840.3,2804.0,2851.0,2814.0,2827.0,2824.35,2812.08,2838.06,2806.1,2844.1,2819.6,2830.9,2831.5,2817.7000000000003,2850.1,2810.0,2858.0,2825.0,2840.0,3.3938726839112032,0.9671753016323634,3.6572833706463026,0.9647175456299679,3.6799707067008525,0.9645064453469893
