label	kind	started_at	ended_at	exit_code	log_sha256
warmup_flash	excluded_warmup	2026-07-16T21:16:10-07:00	2026-07-16T21:17:04-07:00	0	b3441a12e83a6e79ab6e19ee270a52bf97d79d436bfc1d987dd78f1a26c280a3
warmup_pro	excluded_warmup	2026-07-16T21:17:08-07:00	2026-07-16T21:18:06-07:00	0	5e0a0dccedabe8e8a43fe41dd22260be05a926fc853982a96f32d6bbb792c169
round_01_flash	measured	2026-07-16T21:18:10-07:00	2026-07-16T21:18:39-07:00	0	b69b74a3728c27a8edf476eadcf1b2a0c5a25b1b139f22fc493f447384933d62
round_01_pro	measured	2026-07-16T21:18:43-07:00	2026-07-16T21:19:15-07:00	0	35f52655ea2d755cc51cf6bb319184fc3714167df180411877a983e2f724443d
round_02_pro	measured	2026-07-16T21:19:19-07:00	2026-07-16T21:19:50-07:00	0	6bcc0bb747019e0ddfb92d1d52332803957c9e4d0c3cff9c8e6ab980eed1c72a
round_02_flash	measured	2026-07-16T21:19:54-07:00	2026-07-16T21:20:23-07:00	0	9fd30c57fb528a1c977673f027e8ee93a488d8f15f570fddcd54aa3f775626ff
round_03_flash	measured	2026-07-16T21:20:27-07:00	2026-07-16T21:20:56-07:00	0	ffe913ac37aa81de718fbd936cd1d182e620d485cf2dd092f6dbff9011b01823
round_03_pro	measured	2026-07-16T21:21:00-07:00	2026-07-16T21:21:31-07:00	0	b8d3bd90e0409bfbdca830bb50c7da600fe619aba877fadf0ad8ab340ab7a1bb
round_04_pro	measured	2026-07-16T21:21:36-07:00	2026-07-16T21:22:07-07:00	0	8c014acf233818e44e3fd20a1850e0564d38b7d0eb2402dfa659b80d02e4c11c
round_04_flash	measured	2026-07-16T21:22:11-07:00	2026-07-16T21:22:40-07:00	0	9fdb00dd9b0d78a321bb4282328c8c620ddeb09f719524ea41247bf10880c9d2
round_05_flash	measured	2026-07-16T21:22:45-07:00	2026-07-16T21:23:14-07:00	0	baad7fdd51427662338e2f2222e2053a71f491ef9f6bb9830503caabdde01c2a
round_05_pro	measured	2026-07-16T21:23:18-07:00	2026-07-16T21:23:50-07:00	0	30eed3a421f7047ab5701d31f965a4f9f2fa55a2fc1a3036acfc7b54b46a869e
round_06_pro	measured	2026-07-16T21:23:54-07:00	2026-07-16T21:24:25-07:00	0	9b0cc0e55231dbb5143f5b5dadea278909f0ee19790bfc1f98a4e32ff0fb140c
round_06_flash	measured	2026-07-16T21:24:30-07:00	2026-07-16T21:24:58-07:00	0	fa0e3bdc63038ebbfad4bc61671e18da7dd9486d6b24f4b959c3bad887c5662c
round_07_flash	measured	2026-07-16T21:25:03-07:00	2026-07-16T21:25:32-07:00	0	cbae9cf44052002b4dce594b7fa22265c5d544ed07047c51b32e590beeb00a19
round_07_pro	measured	2026-07-16T21:25:36-07:00	2026-07-16T21:26:07-07:00	0	7f2caa24cbb204d41b17e143599f265f92aab2ec7aac63cee8275bc5bb9a43a6
round_08_pro	measured	2026-07-16T21:26:11-07:00	2026-07-16T21:26:43-07:00	0	bc5af7abd4eab5ea3926129ad638da433cb4a9715a2c541221bd929608e4e20c
round_08_flash	measured	2026-07-16T21:26:47-07:00	2026-07-16T21:27:16-07:00	0	3c6d493e1707151f40ce7c19a40317eb553ed2bc18d819c64c56143692f8cacf
round_09_flash	measured	2026-07-16T21:27:20-07:00	2026-07-16T21:27:49-07:00	0	f4e5c43c44675db3d4d1fc80478989359d3fd3bdfc5a00b734d937f854311ab2
round_09_pro	measured	2026-07-16T21:27:53-07:00	2026-07-16T21:28:24-07:00	0	6bc2bde9692269580109e74e46c71940852fcf9d2c528e63e80dd5a0bac4c62d
round_10_pro	measured	2026-07-16T21:28:28-07:00	2026-07-16T21:29:00-07:00	0	5a377a7c3da4ea281773f7ac853ebdd2001680d0f189b51fce72417e5f211c96
round_10_flash	measured	2026-07-16T21:29:04-07:00	2026-07-16T21:29:33-07:00	0	f8670db6b62107512baa22b48d7a6a07c947a342e2010b7103dbd0e26d980e2b
round_11_flash	measured	2026-07-16T21:29:37-07:00	2026-07-16T21:30:05-07:00	0	23fe807077954a860826ecb6135d38d4c3ac339ba9de5e0ef772c16a9a3c1198
round_11_pro	measured	2026-07-16T21:30:09-07:00	2026-07-16T21:30:41-07:00	0	a44e09bcf5fae8228086b9fd76c4357d76e2a69364872b227b3962e38e161c27
round_12_pro	measured	2026-07-16T21:30:45-07:00	2026-07-16T21:31:17-07:00	0	e71ed6555dd26dd4d0985646160fa44b8f8cd6d43e719bfc8680f977942d526c
round_12_flash	measured	2026-07-16T21:31:21-07:00	2026-07-16T21:31:50-07:00	0	2bdbc3c114916b21711f904a0324a0409eda0b3bcdfe898f9cc3c557771bd3ae
round_13_flash	measured	2026-07-16T21:31:54-07:00	2026-07-16T21:32:23-07:00	0	c9e51ff384b2718bd1efa5763ca31a3c4dc21ab0484b9fe4d0589e676305f928
round_13_pro	measured	2026-07-16T21:32:26-07:00	2026-07-16T21:32:58-07:00	0	bd8daf1c24f429508c2bfd292d868e5100dcb4528a0046e646a9342757fcbbff
round_14_pro	measured	2026-07-16T21:33:02-07:00	2026-07-16T21:33:34-07:00	0	f7c0682c5ec9762c7fea85466ee2c459fbfb2a49a5565290ea56fda03ed663cf
round_14_flash	measured	2026-07-16T21:33:38-07:00	2026-07-16T21:34:07-07:00	0	03113953596f54d09310eaa87bcec5590591132737cb6382f712fea7f093a617
round_15_flash	measured	2026-07-16T21:34:11-07:00	2026-07-16T21:34:40-07:00	0	cee57277af2dacae8bae058624637176451ccc5b09be18fc046801bd0849a3b0
round_15_pro	measured	2026-07-16T21:34:44-07:00	2026-07-16T21:35:15-07:00	0	92d2637c746b93158d13aa824988422c595859430a8cdda6cd35b314677e5783
round_16_pro	measured	2026-07-16T21:35:19-07:00	2026-07-16T21:35:51-07:00	0	93e5b6726f2635cd5805132d774dbefe5d2ff97e8eb20458a35279d53f51cb06
round_16_flash	measured	2026-07-16T21:35:55-07:00	2026-07-16T21:36:24-07:00	0	04239825bb6f0ea6c45bef3a7d1e774db766300488966e8e49b6a175ef03340c
round_17_flash	measured	2026-07-16T21:36:28-07:00	2026-07-16T21:36:57-07:00	0	cfed240e156db5fda79f1826e80784d2f145938f5332a3e1c987af0a2ca8c50f
round_17_pro	measured	2026-07-16T21:37:00-07:00	2026-07-16T21:37:32-07:00	0	bc69dec311b564211184fa3004da6adfd841003b083af737ec9977bcc97de48c
round_18_pro	measured	2026-07-16T21:37:36-07:00	2026-07-16T21:38:08-07:00	0	e71ce4fa0992dc8d2b563d9952405adda288aebf9583b5a006445638ef27f1ea
round_18_flash	measured	2026-07-16T21:38:12-07:00	2026-07-16T21:38:40-07:00	0	dbb3289d2d18531ec1532b92d3b2e3e417a5869ad56b1579a1ef0e9d398adfd9
round_19_flash	measured	2026-07-16T21:38:45-07:00	2026-07-16T21:39:13-07:00	0	1e8a2841fb65593d299b130e16372e6d8c8780326a597280416e36636e3d0e64
round_19_pro	measured	2026-07-16T21:39:17-07:00	2026-07-16T21:39:49-07:00	0	8c2f119f23c998cc1ef6cf09a6afb85142bcf871f507d2bf96320ecf6fcf8c62
round_20_pro	measured	2026-07-16T21:39:53-07:00	2026-07-16T21:40:24-07:00	0	0b41e6679efba193a083d6d4be6eb62f68669510072441a2130beffe3ff48ee2
round_20_flash	measured	2026-07-16T21:40:28-07:00	2026-07-16T21:40:57-07:00	0	67cba472376df2595567d7bd460542c309c888d5968a2de6dafe01ce18661738
round_21_flash	measured	2026-07-16T21:41:01-07:00	2026-07-16T21:41:30-07:00	0	8ecb76fca883629b839515748a46da3825e81a60e7465742d0cd3866b55cf4f3
round_21_pro	measured	2026-07-16T21:41:34-07:00	2026-07-16T21:42:06-07:00	0	d31864fc07c4684731fdc054e80705b1651f3c6b192d738e496c8210aee461ac
round_22_pro	measured	2026-07-16T21:42:10-07:00	2026-07-16T21:42:41-07:00	0	7209ffa4ac27b03b61c52acd2cedd816c5575569a3d58da2fa0e6a7d606972c0
round_22_flash	measured	2026-07-16T21:42:45-07:00	2026-07-16T21:43:14-07:00	0	c5113fe5d1925be46f8fdb673a443e687da701bb67972df5689406c1fd2c240e
round_23_flash	measured	2026-07-16T21:43:19-07:00	2026-07-16T21:43:47-07:00	0	4a31e8a3ef8e8f3e66f4d14d7a53ce3ae5ce69533e3cf2f7b7eac653f2829dfd
round_23_pro	measured	2026-07-16T21:43:51-07:00	2026-07-16T21:44:23-07:00	0	725bd802cc9d9f23aebc6036f4e0947d66e3aa08e8d22897a1c058bcf87462e6
round_24_pro	measured	2026-07-16T21:44:27-07:00	2026-07-16T21:44:59-07:00	0	b69d323b05e5292c47fb09ec7a94c53dc5302dd1d683998c6057e9caa1e6737f
round_24_flash	measured	2026-07-16T21:45:03-07:00	2026-07-16T21:45:31-07:00	0	12754bc059817fd4af0e38ac1ac951daa0b808d2fe4d18765351cc21d3f1912f
round_25_flash	measured	2026-07-16T21:45:36-07:00	2026-07-16T21:46:05-07:00	0	536f45c27e5c4e5d9470878724ff1c84c55cceb2e279666c723a4fe7ca4f3276
round_25_pro	measured	2026-07-16T21:46:09-07:00	2026-07-16T21:46:41-07:00	0	7952d8f3c3dcad787ec87b2fe5c8aa9968bdb14ed471b5213aed0b2278bd3051
round_26_pro	measured	2026-07-16T21:46:45-07:00	2026-07-16T21:47:16-07:00	0	495e64bbe179e9404f64ff759081cab02d1d8621f41b1e43ebf44e2a047f06e2
round_26_flash	measured	2026-07-16T21:47:20-07:00	2026-07-16T21:47:49-07:00	0	5882a691edfc2d91b190597fc2e88820fedb9fb2f1bf516ab313a402d0f3bd9a
round_27_flash	measured	2026-07-16T21:47:53-07:00	2026-07-16T21:48:22-07:00	0	0d66c78fa2f41bb2fa6027b7ac2d7e037f2caa6a2a443f8301d322cd012f4a61
round_27_pro	measured	2026-07-16T21:48:26-07:00	2026-07-16T21:48:58-07:00	0	bed40ddc6b7f09557b7b7b7c262b5dbfb98e82a778803a2d17df05bf4153970a
round_28_pro	measured	2026-07-16T21:49:02-07:00	2026-07-16T21:49:34-07:00	0	5feb6161da8481226cc7c38ecf8610af5e5361345883fcba5b9c9109b0cedd0b
round_28_flash	measured	2026-07-16T21:49:38-07:00	2026-07-16T21:50:07-07:00	0	ebd27cd64828768a57d659bc61fef0c1779da734b01470ac926fff2dca912c50
round_29_flash	measured	2026-07-16T21:50:11-07:00	2026-07-16T21:50:40-07:00	0	480272a65a78e4dc330d3099a51bde0d0d7bdb18231271c63f5d8bb658e82f3f
round_29_pro	measured	2026-07-16T21:50:44-07:00	2026-07-16T21:51:15-07:00	0	104f426f4ef45c8dfd6fb7aec4e8a27aeb7999bd957a6975602336a926c4d13e
round_30_pro	measured	2026-07-16T21:51:20-07:00	2026-07-16T21:51:51-07:00	0	de85765681a165e9277583c7689f73bac210aa64245f343959fa29f074997652
round_30_flash	measured	2026-07-16T21:51:55-07:00	2026-07-16T21:52:24-07:00	0	d8f7bc4938a1f0692de0974f5f0361b7dfb04c2be01ee9bfa8b1028f8b47d8b9
