source,round,log,m,recv,experts,layout,rank0_us,mean_rank_us,max_rank_us,tflops,hbm_gbs
baseline,1,round_01_mimo.log,8,64,39,BN256-standard,511.3,525.9,538.3,9.4,1622.0
baseline,1,round_01_mimo.log,16,118,45,BN256-standard,565.1,588.7,601.6,15.8,1696.0
baseline,1,round_01_mimo.log,32,241,48,BN256-standard,556.5,580.4,587.8,32.7,1841.0
baseline,1,round_01_mimo.log,64,546,48,BN256-standard,543.7,561.2,573.7,75.8,1897.0
baseline,1,round_01_mimo.log,128,984,48,BN256-standard,583.2,592.4,605.9,127.4,1785.0
baseline,1,round_01_mimo.log,256,2037,48,BN256-standard,543.0,581.0,588.0,283.2,1962.0
baseline,1,round_01_mimo.log,512,4097,48,BN256-standard,1023.0,1050.2,1063.0,302.4,1087.0
baseline,1,round_01_mimo.log,1024,8140,48,BN256-standard,1527.0,1546.9,1554.0,402.5,788.0
baseline,1,round_01_mimo.log,2048,16409,48,BN128-split,2870.0,2888.9,2899.0,431.7,484.0
baseline,1,round_01_mimo.log,4096,32686,48,BN128-split,5424.0,5451.8,5461.0,455.0,324.0
baseline,1,round_01_mimo.log,8192,65538,48,BN128-split,10179.0,10184.8,10195.0,486.1,245.0
baseline,2,round_02_mimo.log,8,64,39,BN256-standard,495.6,497.2,502.3,9.8,1674.0
baseline,2,round_02_mimo.log,16,118,45,BN256-standard,576.8,571.8,577.6,15.4,1661.0
baseline,2,round_02_mimo.log,32,241,48,BN256-standard,565.6,560.2,565.6,32.2,1812.0
baseline,2,round_02_mimo.log,64,546,48,BN256-standard,811.1,772.5,811.1,50.8,1272.0
baseline,2,round_02_mimo.log,128,984,48,BN256-standard,593.3,581.9,595.3,125.2,1755.0
baseline,2,round_02_mimo.log,256,2037,48,BN256-standard,563.0,563.7,568.8,273.2,1892.0
baseline,2,round_02_mimo.log,512,4097,48,BN256-standard,1044.0,1047.4,1056.0,296.3,1065.0
baseline,2,round_02_mimo.log,1024,8140,48,BN256-standard,1545.0,1540.5,1547.0,397.8,778.0
baseline,2,round_02_mimo.log,2048,16409,48,BN128-split,2862.0,2855.1,2862.0,432.9,485.0
baseline,2,round_02_mimo.log,4096,32686,48,BN128-split,5508.0,5493.7,5508.0,448.0,319.0
baseline,2,round_02_mimo.log,8192,65538,48,BN128-split,10183.0,10176.5,10183.0,485.9,245.0
baseline,3,round_03_mimo.log,8,64,39,BN256-standard,531.2,528.0,537.6,9.1,1562.0
baseline,3,round_03_mimo.log,16,118,45,BN256-standard,587.6,590.9,601.7,15.2,1631.0
baseline,3,round_03_mimo.log,32,241,48,BN256-standard,563.0,563.7,569.0,32.3,1820.0
baseline,3,round_03_mimo.log,64,546,48,BN256-standard,543.8,545.6,553.1,75.8,1897.0
baseline,3,round_03_mimo.log,128,984,48,BN256-standard,537.0,544.5,550.3,138.3,1939.0
baseline,3,round_03_mimo.log,256,2037,48,BN256-standard,546.8,557.9,563.4,281.3,1948.0
baseline,3,round_03_mimo.log,512,4097,48,BN256-standard,1038.0,1038.9,1046.0,298.0,1071.0
baseline,3,round_03_mimo.log,1024,8140,48,BN256-standard,1532.0,1536.0,1539.0,401.1,785.0
baseline,3,round_03_mimo.log,2048,16409,48,BN128-split,2849.0,2849.9,2855.0,434.8,487.0
baseline,3,round_03_mimo.log,4096,32686,48,BN128-split,5458.0,5456.2,5463.0,452.1,322.0
baseline,3,round_03_mimo.log,8192,65538,48,BN128-split,10185.0,10181.2,10186.0,485.8,245.0
baseline,4,round_04_mimo.log,8,64,39,BN256-standard,489.1,512.0,517.9,9.9,1696.0
baseline,4,round_04_mimo.log,16,118,45,BN256-standard,812.9,799.0,837.6,11.0,1179.0
baseline,4,round_04_mimo.log,32,241,48,BN256-standard,555.0,572.4,579.2,32.8,1846.0
baseline,4,round_04_mimo.log,64,546,48,BN256-standard,521.3,548.0,553.4,79.1,1979.0
baseline,4,round_04_mimo.log,128,984,48,BN256-standard,581.9,599.3,614.2,127.7,1790.0
baseline,4,round_04_mimo.log,256,2037,48,BN256-standard,542.8,562.1,567.4,283.3,1962.0
baseline,4,round_04_mimo.log,512,4097,48,BN256-standard,1023.0,1049.9,1061.0,302.4,1087.0
baseline,4,round_04_mimo.log,1024,8140,48,BN256-standard,1550.0,1578.9,1593.0,396.5,776.0
baseline,4,round_04_mimo.log,2048,16409,48,BN128-split,2854.0,2879.9,2890.0,434.1,487.0
baseline,4,round_04_mimo.log,4096,32686,48,BN128-split,5449.0,5478.8,5491.0,452.9,322.0
baseline,4,round_04_mimo.log,8192,65538,48,BN128-split,10194.0,10217.2,10227.0,485.4,245.0
baseline,5,round_05_mimo.log,8,64,39,BN256-standard,555.6,543.5,555.6,8.7,1493.0
baseline,5,round_05_mimo.log,16,118,45,BN256-standard,565.1,562.0,566.1,15.8,1696.0
baseline,5,round_05_mimo.log,32,241,48,BN256-standard,574.8,569.0,574.8,31.7,1783.0
baseline,5,round_05_mimo.log,64,546,48,BN256-standard,535.4,532.9,537.5,77.0,1927.0
baseline,5,round_05_mimo.log,128,984,48,BN256-standard,551.5,545.7,551.5,134.7,1888.0
baseline,5,round_05_mimo.log,256,2037,48,BN256-standard,564.3,558.0,564.3,272.5,1887.0
baseline,5,round_05_mimo.log,512,4097,48,BN256-standard,1046.0,1049.6,1057.0,295.7,1063.0
baseline,5,round_05_mimo.log,1024,8140,48,BN256-standard,1557.0,1549.2,1557.0,394.7,772.0
baseline,5,round_05_mimo.log,2048,16409,48,BN128-split,2862.0,2856.5,2863.0,432.9,485.0
baseline,5,round_05_mimo.log,4096,32686,48,BN128-split,5429.0,5429.1,5432.0,454.5,323.0
