model,source,round,log,m,recv,experts,layout,rank0_us,mean_rank_us,max_rank_us,tflops,hbm_gbs
flash,baseline,1,round_01_flash.log,8,46,24,BN256-standard,238.7,235.8,238.7,9.7,1427.0
flash,baseline,1,round_01_flash.log,16,92,30,BN256-standard,278.0,270.2,279.7,16.7,1533.0
flash,baseline,1,round_01_flash.log,32,170,32,BN256-standard,259.7,257.0,261.5,32.9,1755.0
flash,baseline,1,round_01_flash.log,64,378,32,BN256-standard,290.9,285.0,290.9,65.4,1578.0
flash,baseline,1,round_01_flash.log,128,784,32,BN256-standard,280.7,282.3,287.9,140.6,1660.0
flash,baseline,1,round_01_flash.log,256,1568,32,BN256-standard,300.2,295.7,300.2,262.9,1594.0
flash,baseline,1,round_01_flash.log,512,3147,32,BN256-standard,506.9,502.9,507.9,312.5,995.0
flash,baseline,1,round_01_flash.log,1024,6221,32,BN256-standard,827.9,827.9,830.7,378.2,670.0
flash,baseline,1,round_01_flash.log,2048,12365,32,BN128-split,1586.7,1584.1,1590.2,392.2,413.0
flash,baseline,1,round_01_flash.log,4096,24547,32,BN128-split,2715.0,2713.0,2716.0,455.1,315.0
flash,baseline,1,round_01_flash.log,8192,49065,32,BN128-split,5191.0,5192.5,5197.0,475.7,242.0
flash,baseline,2,round_02_flash.log,8,46,24,BN256-standard,227.7,240.1,245.7,10.2,1495.0
flash,baseline,2,round_02_flash.log,16,92,30,BN256-standard,255.0,261.5,271.9,18.2,1671.0
flash,baseline,2,round_02_flash.log,32,170,32,BN256-standard,275.0,267.7,275.0,31.1,1658.0
flash,baseline,2,round_02_flash.log,64,378,32,BN256-standard,284.7,279.1,288.4,66.8,1613.0
flash,baseline,2,round_02_flash.log,128,784,32,BN256-standard,283.9,285.7,294.6,139.0,1641.0
flash,baseline,2,round_02_flash.log,256,1568,32,BN256-standard,336.6,328.6,339.4,234.4,1422.0
flash,baseline,2,round_02_flash.log,512,3147,32,BN256-standard,509.5,505.4,512.5,310.9,990.0
flash,baseline,2,round_02_flash.log,1024,6221,32,BN256-standard,844.9,840.2,849.2,370.6,657.0
flash,baseline,2,round_02_flash.log,2048,12365,32,BN128-split,1596.2,1590.5,1599.2,389.9,411.0
flash,baseline,2,round_02_flash.log,4096,24547,32,BN128-split,2731.0,2728.9,2737.0,452.4,313.0
flash,baseline,2,round_02_flash.log,8192,49065,32,BN128-split,5209.0,5196.0,5209.0,474.1,241.0
flash,baseline,3,round_03_flash.log,8,46,24,BN256-standard,230.2,231.0,233.5,10.1,1479.0
flash,baseline,3,round_03_flash.log,16,92,30,BN256-standard,286.6,279.9,287.0,16.2,1487.0
flash,baseline,3,round_03_flash.log,32,170,32,BN256-standard,259.1,259.9,264.6,33.0,1759.0
flash,baseline,3,round_03_flash.log,64,378,32,BN256-standard,272.3,269.0,274.1,69.9,1686.0
flash,baseline,3,round_03_flash.log,128,784,32,BN256-standard,272.6,278.3,282.8,144.8,1709.0
flash,baseline,3,round_03_flash.log,256,1568,32,BN256-standard,278.5,289.6,295.1,283.3,1719.0
flash,baseline,3,round_03_flash.log,512,3147,32,BN256-standard,495.2,506.2,512.1,319.9,1019.0
flash,baseline,3,round_03_flash.log,1024,6221,32,BN256-standard,827.4,832.1,836.1,378.4,671.0
flash,baseline,3,round_03_flash.log,2048,12365,32,BN128-split,1576.0,1578.0,1580.8,394.9,416.0
flash,baseline,3,round_03_flash.log,4096,24547,32,BN128-split,2716.0,2717.8,2723.0,454.9,315.0
flash,baseline,3,round_03_flash.log,8192,49065,32,BN128-split,5161.0,5163.9,5169.0,478.5,244.0
flash,baseline,4,round_04_flash.log,8,46,24,BN256-standard,271.8,261.5,274.5,8.5,1253.0
flash,baseline,4,round_04_flash.log,16,92,30,BN256-standard,329.3,314.3,329.3,14.1,1294.0
flash,baseline,4,round_04_flash.log,32,170,32,BN256-standard,254.7,251.3,254.7,33.6,1789.0
flash,baseline,4,round_04_flash.log,64,378,32,BN256-standard,260.6,277.4,282.2,73.0,1762.0
flash,baseline,4,round_04_flash.log,128,784,32,BN256-standard,273.2,270.2,274.1,144.4,1705.0
flash,baseline,4,round_04_flash.log,256,1568,32,BN256-standard,349.9,339.0,350.9,225.5,1368.0
flash,baseline,4,round_04_flash.log,512,3147,32,BN256-standard,507.0,502.3,507.1,312.4,995.0
flash,baseline,4,round_04_flash.log,1024,6221,32,BN256-standard,839.7,835.5,839.7,372.9,661.0
flash,baseline,4,round_04_flash.log,2048,12365,32,BN128-split,1583.7,1577.4,1583.7,393.0,414.0
flash,baseline,4,round_04_flash.log,4096,24547,32,BN128-split,2727.0,2720.0,2727.0,453.1,314.0
flash,baseline,4,round_04_flash.log,8192,49065,32,BN128-split,5152.0,5150.7,5154.0,479.3,244.0
flash,baseline,5,round_05_flash.log,8,46,24,BN256-standard,232.1,229.5,233.4,10.0,1467.0
flash,baseline,5,round_05_flash.log,16,92,30,BN256-standard,349.9,329.7,349.9,13.2,1218.0
flash,baseline,5,round_05_flash.log,32,170,32,BN256-standard,333.2,318.0,333.2,25.7,1368.0
flash,baseline,5,round_05_flash.log,64,378,32,BN256-standard,296.8,312.6,321.6,64.1,1547.0
flash,baseline,5,round_05_flash.log,128,784,32,BN256-standard,277.9,272.7,277.9,142.0,1676.0
flash,baseline,5,round_05_flash.log,256,1568,32,BN256-standard,298.6,302.3,309.8,264.3,1603.0
flash,baseline,5,round_05_flash.log,512,3147,32,BN256-standard,497.8,493.0,497.8,318.2,1014.0
flash,baseline,5,round_05_flash.log,1024,6221,32,BN256-standard,837.7,831.9,837.7,373.8,662.0
flash,baseline,5,round_05_flash.log,2048,12365,32,BN128-split,1593.6,1585.1,1593.6,390.5,411.0
flash,baseline,5,round_05_flash.log,4096,24547,32,BN128-split,2734.0,2725.8,2734.0,451.9,313.0
flash,baseline,5,round_05_flash.log,8192,49065,32,BN128-split,5168.0,5161.5,5168.0,477.8,243.0
flash,baseline,6,round_06_flash.log,8,46,24,BN256-standard,271.4,263.9,275.7,8.5,1254.0
flash,baseline,6,round_06_flash.log,16,92,30,BN256-standard,269.0,270.3,277.6,17.2,1584.0
flash,baseline,6,round_06_flash.log,32,170,32,BN256-standard,272.7,269.5,277.1,31.4,1671.0
