label	kind	started_at	ended_at	exit_code	log_sha256
warmup_mimo	excluded_warmup	2026-07-16T05:54:45-07:00	2026-07-16T05:55:29-07:00	0	64cdc0f493ed4242aa85a1c8212b3a6d9e48a30fad95bd6ca729607681b143ca
round_01_mimo	measured	2026-07-16T05:55:33-07:00	2026-07-16T05:56:03-07:00	0	c8b8bc22e2cdba2c50778f3f08b7f982337900846713a089e5ed96c1079b3b51
round_02_mimo	measured	2026-07-16T05:56:08-07:00	2026-07-16T05:56:40-07:00	0	4136fd56564f0ce43a31a91486cbfdeae335067a574a56e49999c2e98e485842
round_03_mimo	measured	2026-07-16T05:56:45-07:00	2026-07-16T05:57:15-07:00	0	03de6734c3c69a77caed5ce3627a4ae54a2ffb3d0e02d39247cb31d836a56669
round_04_mimo	measured	2026-07-16T05:57:19-07:00	2026-07-16T05:57:49-07:00	0	bea17930251fbfbdfe6a99e9596eff0f7b43f752bbab0753f80b37a3e15cdedc
round_05_mimo	measured	2026-07-16T05:57:54-07:00	2026-07-16T05:58:24-07:00	0	9ba9bfddd1d47f22c663bce19cb06fa52c68e8a885bc7aaf9f582c084cecdfa2
round_06_mimo	measured	2026-07-16T05:58:28-07:00	2026-07-16T05:58:58-07:00	0	011813194fc618b26e8b19200128d606ccd18f38c930f6373247fbeeb6b75b2d
round_07_mimo	measured	2026-07-16T05:59:03-07:00	2026-07-16T05:59:33-07:00	0	0017fd1682521bc395923df6d4f1efffaea8c70bce395566afaa80f768e5c28c
round_08_mimo	measured	2026-07-16T05:59:37-07:00	2026-07-16T06:00:07-07:00	0	d16dcf7b1bc9705e52ea0a37f668885018fd14ea93e7c2e947fbdab20264ea2d
round_09_mimo	measured	2026-07-16T06:00:12-07:00	2026-07-16T06:00:42-07:00	0	265e456108859c9820e3b9b6ebc8682d3cc68dd0a497d47d67682acdbd1ba71c
round_10_mimo	measured	2026-07-16T06:00:46-07:00	2026-07-16T06:01:16-07:00	0	d5bb02856640a7d1c3bea4aced5e0986a66c136f9c1a814f6d3dd2f0abc85b29
round_11_mimo	measured	2026-07-16T06:01:20-07:00	2026-07-16T06:01:51-07:00	0	84aeae0ac9491a8ad0f54d2ba46b266d64f3fecd08238f8e4a5507692af952fd
round_12_mimo	measured	2026-07-16T06:01:55-07:00	2026-07-16T06:02:25-07:00	0	157036ce7a5c36bf74e76801105548320359d5d02da4cf68369e096ee82b4139
